epoch: 1, lr: 1.00e+00 - train loss: 11.07 - valid loss: 6.04, valid CER: 1.01e+02, valid WER: 1.26e+02
epoch: 2, lr: 1.00e+00 - train loss: 7.45 - valid loss: 6.29, valid CER: 1.02e+02, valid WER: 1.22e+02
epoch: 3, lr: 8.00e-01 - train loss: 7.26 - valid loss: 5.92, valid CER: 95.21, valid WER: 1.12e+02
epoch: 4, lr: 8.00e-01 - train loss: 6.73 - valid loss: 5.91, valid CER: 1.09e+02, valid WER: 1.42e+02
epoch: 5, lr: 6.40e-01 - train loss: 6.03 - valid loss: 5.92, valid CER: 1.04e+02, valid WER: 1.30e+02
epoch: 6, lr: 6.40e-01 - train loss: 5.86 - valid loss: 5.85, valid CER: 98.92, valid WER: 1.13e+02
epoch: 7, lr: 6.40e-01 - train loss: 5.80 - valid loss: 5.80, valid CER: 1.03e+02, valid WER: 1.22e+02
epoch: 8, lr: 5.12e-01 - train loss: 5.72 - valid loss: 5.82, valid CER: 96.89, valid WER: 1.06e+02
epoch: 9, lr: 5.12e-01 - train loss: 5.66 - valid loss: 5.72, valid CER: 1.02e+02, valid WER: 1.21e+02
epoch: 10, lr: 4.10e-01 - train loss: 5.59 - valid loss: 5.70, valid CER: 1.00e+02, valid WER: 1.22e+02
epoch: 11, lr: 4.10e-01 - train loss: 5.54 - valid loss: 5.67, valid CER: 1.07e+02, valid WER: 1.38e+02
epoch: 12, lr: 3.28e-01 - train loss: 5.49 - valid loss: 5.65, valid CER: 1.05e+02, valid WER: 1.42e+02
epoch: 13, lr: 3.28e-01 - train loss: 5.46 - valid loss: 5.63, valid CER: 1.06e+02, valid WER: 1.38e+02
epoch: 14, lr: 2.62e-01 - train loss: 5.41 - valid loss: 5.62, valid CER: 1.01e+02, valid WER: 1.36e+02
epoch: 15, lr: 2.62e-01 - train loss: 5.39 - valid loss: 5.60, valid CER: 1.03e+02, valid WER: 1.40e+02
epoch: 16, lr: 2.10e-01 - train loss: 5.35 - valid loss: 5.59, valid CER: 1.02e+02, valid WER: 1.34e+02
epoch: 17, lr: 2.10e-01 - train loss: 5.33 - valid loss: 5.59, valid CER: 1.02e+02, valid WER: 1.37e+02
epoch: 18, lr: 1.68e-01 - train loss: 5.31 - valid loss: 5.58, valid CER: 97.94, valid WER: 1.31e+02
epoch: 19, lr: 1.68e-01 - train loss: 5.28 - valid loss: 5.58, valid CER: 1.02e+02, valid WER: 1.34e+02
epoch: 20, lr: 1.34e-01 - train loss: 5.27 - valid loss: 5.57, valid CER: 99.23, valid WER: 1.27e+02
