voiceID,duration,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median,JitterPCA,ShimmerPCA
/project/graziul/data/Zone1/2018_08_12/201808121301-922847-27730.mp3,1831.7561451247166,159.39840778193286,42.20223705568664,7.933342833814779,0.023318975197652896,0.00014671740245439407,0.010880324958608389,0.011733992231239604,0.032640974875825166,0.12227488851835125,1.1904800481730562,0.055959640283525826,0.07542031965062493,0.11052517134099843,0.16787892085057748,582.2349226656531,1411.3292937475749,2155.725832014042,2877.371353499562,555.5766877188225,1409.5790689542491,2143.3794541692127,2818.6042062183833,-0.1276756962651591,1.4778585927463954
/project/graziul/data/Zone1/2018_08_12/201808121331-741795-27730.mp3,1831.7561451247166,173.15362856824697,53.26295381136981,8.688382738842341,0.02018933587437393,0.00011674975341105407,0.00920012563697965,0.010192180532067802,0.02760037691093895,0.12095314431988652,1.1766214597190017,0.05429497636110478,0.07364185511918378,0.11060970713143668,0.16288492908331434,620.8409196244381,1468.6600403037062,2223.9206909806758,2931.9394062230394,596.2716945167203,1462.8081002440542,2225.251245905455,2880.7435575633813,-1.4584138197104368,0.8385521098491551
/project/graziul/data/Zone1/2018_08_12/201808121401-396777-27730.mp3,1831.7561451247166,188.0206842362522,54.22159964380677,7.898025628669265,0.019119020159059506,0.0001017800983236954,0.008841841517363721,0.009341708875657322,0.026525524552091163,0.12518628947661264,1.1949163370449687,0.05661576792494381,0.07512541530932308,0.1124091897893504,0.16984730377483143,654.566620806846,1545.4751581750488,2239.7659982487908,2935.771023089352,622.1035141397938,1538.2859519796884,2241.1919151142133,2875.083308543807,-1.156834695396073,-0.045635210335704834
/project/graziul/data/Zone1/2018_08_12/201808121430-885595-27730.mp3,1831.155328798186,194.36418244629667,49.018654476607665,8.168778010700679,0.01710625059843752,8.805268033428022e-05,0.00781704669202943,0.008118166070511558,0.02345114007608829,0.12249748101555458,1.1907110970195183,0.055121079134143346,0.07455080112946909,0.11199500946715497,0.16536323740243003,671.8043976630074,1545.0518270735552,2248.7846033873193,2931.057279587305,636.8569457046779,1548.362188849203,2257.731538255565,2862.23379657588,-2.066742236237884,-0.3693141076943236
/project/graziul/data/Zone1/2018_08_12/201808121500-665201-27730.mp3,1832.9577777777777,162.15431868590372,37.017354854748724,7.3934559668569655,0.017142441470448844,0.0001059008861526576,0.007615910306511863,0.007818709251930959,0.02284773091953559,0.12497441026187492,1.1949026264378608,0.05441012225405602,0.07356849453201081,0.11225759375620907,0.16323036676216807,656.0270283909351,1470.8979979500384,2216.1685570584946,2899.4259947677792,632.400322668557,1464.1381270323143,2209.1888568803556,2844.8851922569324,-2.0303899571939747,-0.2681536906406791
/project/graziul/data/Zone1/2018_08_12/201808121530-403955-27730.mp3,1831.7561451247166,177.52186061522815,48.86314863456367,8.700638235206748,0.01579422340089789,8.908569213164401e-05,0.007093681825307676,0.007407676658105588,0.02128104547592303,0.12098072530369547,1.1709934480696749,0.05329158799764785,0.0719841962065171,0.11123039008482401,0.15987476399294354,640.8637923408041,1507.1903440373692,2205.0653379310074,2923.1910467226207,607.2682904448097,1511.1024318523014,2191.240272158416,2873.862900201978,-2.8889864681025275,-0.225611836680682
/project/graziul/data/Zone1/2018_08_12/201808121600-852986-27730.mp3,1832.3569614512471,190.734373128493,51.92666093241358,8.841093036928816,0.016115448906503804,8.45546682881781e-05,0.007000951261787054,0.007258268090449727,0.02100285378536116,0.11585805185129171,1.1122913229484934,0.050526480601146485,0.06894580022639589,0.10435129101070995,0.15157944180343946,648.5911759022262,1532.1993585376076,2216.2950078382983,2932.5530858974653,620.7794566306666,1537.81836441768,2205.7757095043303,2864.5808147697344,-4.080518220203006,0.8714017493686216
/project/graziul/data/Zone1/2018_08_12/201808121630-876020-27730.mp3,1831.7561451247166,194.0029892426419,58.43837002299141,8.090726690548081,0.016518293963155427,8.507544550522298e-05,0.007430025206059747,0.007685933990784625,0.022290075618179243,0.12063654196127895,1.1676138421820639,0.054261020199334445,0.07306508947553013,0.10999163272922607,0.16278306059800335,655.0317593365584,1540.7782162907067,2224.0276305509965,2934.5096021853556,618.3989608347297,1542.0575435065396,2219.9097022096207,2872.862522004544,-2.6675258873916796,-0.1535381293591278
/project/graziul/data/Zone1/2018_08_12/201808121700-289658-27730.mp3,1832.3569614512471,208.00335052339528,53.73466508907727,8.663979490507327,0.018155187904313072,8.723607827950899e-05,0.008149883397985476,0.008151327069965603,0.02444965019395643,0.11896849964373937,1.1375583230708801,0.052692534922121205,0.07163546195437732,0.10673761505950125,0.15807760476636362,654.3213419417848,1543.3750141609187,2237.7404872044226,2957.3368526577165,617.9655603069207,1549.7970003873706,2233.328158592387,2888.5435864675173,-2.892401849508823,0.7211933433806087
/project/graziul/data/Zone1/2018_08_12/201808121729-506899-27730.mp3,1831.155328798186,195.43981110244502,57.27840137574112,8.22524143874359,0.018401020168522523,9.409341423059628e-05,0.008197243268194758,0.008269506985864438,0.024591729804584274,0.12255413869238835,1.1700125719444088,0.05389049236873016,0.07250697835616,0.10998962823401483,0.16167147710619048,648.7021523235065,1534.4850193550092,2233.227815915131,2963.3346126987603,608.8032382779803,1542.9148423710715,2232.2811208346448,2891.5193979193423,-2.241976337637043,0.2734574336011241
/project/graziul/data/Zone1/2018_08_12/201808121759-818443-27730.mp3,1831.7561451247166,202.9572833160734,53.68679045558566,8.71787964297006,0.01670319553446756,8.230946135855278e-05,0.007278060579081686,0.0074047969495863635,0.021834181737245058,0.12005735627772907,1.1511799773578675,0.05285697660597815,0.07191848427865946,0.11033309821056045,0.15857092981793444,648.403386123625,1534.6680179421596,2220.819576625286,2933.054884668181,616.6092662246382,1542.7161575167804,2217.635462664252,2867.08438097378,-3.0451844933571994,0.0009740108920446796
