beat,beat_num,district,sector,area_x,constituent_block_groups,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049
1,1713,17,1,1172565.7579329773,7.575008817723173,13656.927369559835,6689.4696389838755,494.6274746292714,433.64672115887765,301.0009647115759,146.08454148893452,307.94032450244146,207.37317962054453,221.3937388045103,328.9404760427338,612.87303407493,604.1580619944298,818.7444957754691,478.11846760183266,396.1044733005751,368.7641885074011,356.8333397503952,105.283233255493,73.72579700370622,53.09795227341379,114.32694737877053,48.525844750523014,61.23943414722118,103.6953774777036,52.97157073312184,6967.457730575959,511.3878218821207,362.108319391799,512.7349541136984,164.4008516608668,429.69406539699946,231.7104054229174,211.68790199846015,502.774995741721,821.4423181658128,701.4837564167676,397.4822885121946,402.86245433961005,282.65308574618746,203.5445759642584,172.56885779872536,164.40268874872302,77.57429046440761,85.61245702341562,105.58734154208157,129.85300862315046,78.28961934200122,97.49426654318343
5,1651,16,5,294218.3276236458,0.01472391183768158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1914,19,1,1182412.2356514735,9.004924643523225,12029.12298280136,6173.116409934436,271.8171689540761,349.8051907295901,281.6969085516364,113.1405183982757,134.77353873679496,67.99825669980221,7.000040358569488,249.4501204167691,727.5765625449901,657.7824935250154,343.02423244426984,511.6034811117866,602.2696396664954,450.8043518604561,352.1386877044849,203.04193930956626,261.49713521774987,111.7904278678604,96.07007570964879,187.53336824853545,108.0527904188368,40.01177868012015,44.23770277910575,5856.006572866924,322.67512634469597,285.9161442585879,199.72363843916364,212.73940940624678,91.82086374212136,100.70337253815865,38.001364025853455,261.62322986804304,751.8455877302131,598.6812966247303,428.8860138318146,453.67206730004784,370.41260254621443,268.9034314640829,137.13760363479955,143.5856980567865,67.07252342371531,178.44806806603205,217.66941725194434,123.03654229229463,164.19295583173414,112.21233428029032
1,1915,19,1,1766237.3033836333,10.290826645700536,11424.61163672528,5385.868700956704,157.58509097366854,68.02056946575871,151.35151179786254,13.006955031655751,8.648502575862581,3.316492764324178e-05,14.0,309.5802282734826,965.2610794875712,677.4527676552254,725.9437008419629,427.9013667485544,293.07304074702995,348.2748870920393,447.17528802137304,170.0116506550302,119.27860422483388,49.25469772384674,115.93220934834761,104.19072988167173,63.12111934452264,63.99650899914485,92.808158902332,6038.742935768576,274.0130709946836,0.02248250494742166,0.0236428288701325,95.00894821650016,0.0016287716520299608,40.00996411961374,108.9879070367423,590.00270971289,1001.0712848506123,864.8820307482679,492.35706385511327,198.03949936937465,201.9864896371035,173.34225562674584,74.98298480862628,276.74448234255055,81.12366806779187,142.4398516544175,161.21166323669007,207.0406911426898,208.79555117353297,262.51624420929704
1,1913,19,1,622983.1854370016,5.102210534289689,7756.555517907881,4076.143024837268,215.58230886297295,54.16840681359552,28.90614678387181,63.85290305557522,9.218124598723472,15.00111610039625,22.993239445147115,291.3732676204686,677.9681829381749,539.8243215081674,379.08739043611723,319.1526425229244,276.5033081974342,485.8249609899329,280.99304287568447,50.95719631477454,150.18583597387897,24.78127471039896,43.00611184785543,55.30088600999797,60.8101815870025,21.999890899218343,8.652284744955155,3680.412493070613,86.27750935500681,344.00062971007156,97.27959301787055,24.263713276955464,78.17487679415095,35.28942434508747,56.989398506782095,248.63353222850574,416.0619900171581,525.5494246852368,316.0008758395429,333.3915392440682,290.4467513924046,271.5323286169824,27.878207961714672,53.34543768584422,61.80131492903378,62.62453132175495,122.60523330648438,5.947304374743329,0.004419908181241608,24.984010034070863
3,0735,07,3,1491751.624090936,5.74423178173983,5675.21454376797,2645.417703734459,226.27414022330493,142.5844665601539,196.75975923948832,61.06978456982395,114.81105764179523,87.18551063530062,68.32911608568011,140.51514457752194,66.18489289076524,105.43052836179052,94.96009449848604,264.6609851806294,197.78768764784914,149.51769489078242,271.83280917960707,88.32632762010043,58.81647332546363,27.8887983155217,44.825915714627,107.54599053575015,83.1034742450377,26.00624835924208,21.00080343573715,3029.796840033511,67.0070811044385,147.69867598243277,302.85898854128686,153.3033910390727,67.99003096417255,5.004735815053577,41.99736892713442,52.5868854112481,343.59484430064174,94.4241869513129,180.43695405823857,140.84446978616313,190.73721120966312,229.86208578461688,32.46681196480489,63.76870633201918,43.888335507336436,195.98870035348048,174.9184727328574,141.86135771182003,73.09425553741664,105.07806919432815
1,1912,19,1,1808066.7802685245,13.001365906745603,14843.865750185063,7399.00201424634,361.0507773009377,295.0642050384315,262.028556746076,195.0076960412798,41.00639494698286,63.036890015767526,17.075885307395197,422.00113421592937,1089.0902837465658,1207.1045929776508,973.057732891066,615.1006704654831,536.1126569964491,420.0937700056824,306.0990710357317,98.00838079804144,111.01049633009094,33.047937926236216,67.00452392381848,114.00470559259809,88.99584515985913,35.000447808928,48.99935897533875,7444.863735938723,475.07318051459094,374.03515553642234,276.01356367396534,120.00585580180714,38.01123359456909,56.998630314703696,6.006607219102442,300.01539142351515,1223.1163358470408,1140.165742593863,1109.0895950501676,505.0609797198326,379.0720476793741,376.0766493979572,87.02536054646558,207.05251973881053,69.01033538004936,96.99857618213252,156.00738428271836,132.00254902032935,50.01593645319631,33.00522610478622
2,1723,17,2,1971172.98948671,14.23551980389006,21040.196391286263,10825.651602870897,747.6412973287515,622.1464913499024,507.64277034886834,288.59353889999926,314.5662862826078,99.02667963942899,112.17541172601162,532.9425630544971,1367.876700527633,1236.5743006516502,1184.0599981310224,633.3163907860036,706.3194854635474,815.7121493950729,419.9360315801486,221.1943456650238,264.0535327300838,216.0646926811279,148.96805968729126,164.09375159732252,62.631012624838014,99.00754360096067,61.10856911910488,10214.544788415365,602.9146038658705,794.0482338939753,764.7793469152451,318.48645799526577,181.5649966779049,120.24754241246747,93.16709627150682,490.3188391867954,911.6498455664268,948.6998274020682,969.461325935827,760.4295622895996,819.1433528360976,630.5821797450095,135.08556963719903,220.39659159778128,155.97047438818103,173.35798162794703,361.82467602650456,105.08245905483344,133.35245558318445,118.26717125957879
1,1911,19,1,2284849.177414987,16.950873536031555,17736.968572948317,8423.73320672325,623.4528456204231,733.2107051940136,288.7159793775127,172.7503488084266,53.93652145170135,89.02631589187276,49.42384210232435,243.94846810437494,724.2776013920767,1043.8743583503567,675.7221712226908,910.8001480064963,607.0570838392229,620.195917874134,292.64124211230023,183.02070696497347,326.1949926436441,130.7078293071508,197.93289415765508,211.0635627097302,105.9564640705772,55.06128886115566,84.76191866043649,9313.235366225068,757.958228297904,579.1728998485553,386.51749936310995,65.22635072364092,40.10259173364423,37.23212107738557,70.0085548923716,281.9859267299769,972.7088309816276,1255.5208262021713,912.4745536458809,891.2273346824932,677.7028612891681,464.56876044408074,240.69021730433286,197.30673624389104,103.58075078234181,122.29123412284758,333.1542697821264,299.84627750417883,37.31914551333371,196.8926268674857
2,1722,17,2,2642928.911990008,12.40122174107426,14608.188458563194,7112.135442756405,588.4093300836979,460.0354320617937,456.42748187931716,191.61636086754643,64.82362713331926,61.80400814598646,34.842366110973664,263.0523283747451,768.3858048528976,786.8348159152616,521.6216060832055,470.45354035590634,426.4811814900354,489.62835853660664,526.0349408396869,164.0117889220086,223.220604895055,75.21477588596528,182.8022580472474,131.4367204340694,136.99644888516036,56.00059593646097,32.00106701945825,7496.0530158067895,623.43439436105,350.41916524649207,294.10167627348676,218.61469517260176,124.81712280901341,17.802229741610486,25.400415868164167,217.40946661406426,685.8213727851802,688.8596783439294,606.8799774070917,557.2468138164106,445.7066086178282,516.0404624372123,179.40920748047415,244.22751793586983,119.60510406877249,304.8096880928647,283.59567242529295,167.2121592077855,160.80166717398538,190.2037333018155
